"title","section","url"
"Gobernador de Arauca se declara inocente de cargos imputados por Fiscalía","Delitos","https://www.eltiempo.com/justicia/delitos/facundo-castillo-fiscalia-imputa-cargos-por-contratos-con-el-eln-en-arauca-627052"
"'Mi corazón está roto': Alec Baldwin tras trágico accidente en rodaje","Cine y Tv","https://www.eltiempo.com/cultura/cine-y-tv/alec-baldwin-que-dijo-tras-dispararle-a-halyna-hutchins-627104"
"Cae la tercera banda más peligrosa de Bogotá, ¿cuáles son las dos primeras?","Bogotá","https://www.eltiempo.com/bogota/las-bandas-criminales-mas-peligrosas-de-bogota-despues-de-los-camilo-626979"
"Comité médico no autorizó la eutanasia para Víctor Escobar en Cali","Cali","https://www.eltiempo.com/colombia/cali/clinica-no-accede-a-la-eutanasia-para-victor-escobar-en-cali-627105"
"Al Rayyan vs. Al Sadd, en vivo: siga la actuación de James Rodríguez","Fútbol Internacional","https://www.eltiempo.com/deportes/futbol-internacional/al-rayyan-vs-al-sadd-en-vivo-james-rodriguez-en-la-final-amir-cup-627095"
"Los efectos del fallo que revivió al Nuevo Liberalismo","Cortes","https://www.eltiempo.com/justicia/cortes/nuevo-liberalismo-corte-publica-fallo-y-empieza-a-correr-plazo-para-el-cne-627062"
"¿Qué se sabe del último colombiano capturado por magnicidio en Haití?","Investigación","https://www.eltiempo.com/justicia/investigacion/perfil-del-colombiano-profugo-capturado-por-muerte-de-presidente-de-haiti-627057"
"Devastado: primeras fotos de Alec Baldwin tras matar a mujer en accidente","Gente","https://www.eltiempo.com/cultura/gente/alec-baldwin-imagenes-tras-accidente-en-que-murio-halyna-hutchins-627043"
"Qué es la COP26 y por qué es vital para el futuro del mundo","Medio Ambiente","https://www.eltiempo.com/vida/medio-ambiente/26-datos-para-entender-que-es-que-implica-y-por-que-importa-la-cop26-627015"
"Bombardean a terroristas en Malí vinculados a secuestro de monja colombiana","Unidad Investigativa","https://www.eltiempo.com/unidad-investigativa/gloria-narvaez-aniquilan-a-terroristas-en-mali-detras-de-su-secuestro-627048"
"La jugada polémica en el Nacional vs. Cali: ¿fue penal?","Fútbol Colombiano","https://www.eltiempo.com/deportes/futbol-colombiano/nacional-vs-cali-el-momento-del-problema-fue-o-no-penalti-627026"
"Devastado: primeras fotos de Alec Baldwin tras matar a mujer en accidente","Gente","https://www.eltiempo.com/cultura/gente/alec-baldwin-imagenes-tras-accidente-en-que-murio-halyna-hutchins-627043"
"Qué es la COP26 y por qué es vital para el futuro del mundo","Medio Ambiente","https://www.eltiempo.com/vida/medio-ambiente/26-datos-para-entender-que-es-que-implica-y-por-que-importa-la-cop26-627015"
"Bombardean a terroristas en Malí vinculados a secuestro de monja colombiana","Unidad Investigativa","https://www.eltiempo.com/unidad-investigativa/gloria-narvaez-aniquilan-a-terroristas-en-mali-detras-de-su-secuestro-627048"
"La jugada polémica en el Nacional vs. Cali: ¿fue penal?","Fútbol Colombiano","https://www.eltiempo.com/deportes/futbol-colombiano/nacional-vs-cali-el-momento-del-problema-fue-o-no-penalti-627026"
"Brutal choque entre un bus y un camión dejó 3 muertos y 5 heridos en Tolima","Otras Ciudades","https://www.eltiempo.com/colombia/otras-ciudades/tolima-accidente-en-la-via-neiva-espinal-dejo-3-muertos-y-5-heridos-627075"
"Video: capturan a un hombre que robó y golpeó a una monja en Santa Fe","Bogotá","https://www.eltiempo.com/bogota/un-monja-fue-golpeada-por-un-ladron-en-medio-de-un-robo-627047"
"everis cambia de marca, ahora es NTT Data","Contenido Patrocinado","https://www.eltiempo.com/contenido-comercial/everis-cambia-de-marca-ahora-es-ntt-data-626625"
"everis cambia de marca, ahora es NTT Data","Contenido Patrocinado","https://www.eltiempo.com/contenido-comercial/everis-cambia-de-marca-ahora-es-ntt-data-626625"
"Histórico: hipopótamos de Escobar, declarados 'personas legales' en EE.UU.","Colombia","https://www.eltiempo.com/colombia/hipopotamos-de-escobar-ahora-son-personas-legales-en-estados-unidos-627074"
"Banco de Bogotá recibe certificación de la firma Great Place To Work","Más Contenido","https://www.eltiempo.com/mas-contenido/banco-de-bogota-recibe-certificacion-de-la-firma-great-place-to-work-626925"
"Flacos románticos, 'sugar daddies' y otros galanes de Hollywood","Cine y Tv","https://www.eltiempo.com/cultura/cine-y-tv/hollywood-sus-grandes-galanes-de-todos-los-tiempos-626919"
"¿Cree que realmente es bueno con la ortografía? Demuéstrelo con este test","Otras Ciudades","https://www.eltiempo.com/colombia/otras-ciudades/test-de-ortografia-midase-a-ver-que-tan-bueno-es-con-la-escritura-626724"
"¿Qué va a pasar con los indígenas embera del parque Nacional?","Bogotá","https://www.eltiempo.com/bogota/esto-pasara-con-los-indigenas-del-parque-nacional-tras-la-orden-de-desalojo-627036"
"Película que rodaba Baldwin precisamente hablaba de una muerte accidental","Cine y Tv","https://www.eltiempo.com/cultura/cine-y-tv/alec-baldwin-pelicula-en-la-que-mato-era-sobre-homicidio-involuntario-627089"
"¿Sabía que el café que está tomando puede que no sea colombiano?","Contenido Patrocinado","https://www.eltiempo.com/contenido-comercial/sabia-que-el-cafe-que-esta-tomando-puede-que-no-sea-colombiano-626882"
"Amaranta Hank pensaría lanzarse al Congreso y sus seguidores la apoyaron","Gente","https://www.eltiempo.com/cultura/gente/exactriz-porno-amaranta-hank-piensa-postularse-al-congreso-de-la-republica-627065"
"EE. UU. busca imponer nuevas condiciones para ayuda a Colombia","EEUU","https://www.eltiempo.com/mundo/eeuu-y-canada/ee-uu-impondra-nuevas-condiciones-para-ayuda-a-colombia-626987"
"¿Qué va a pasar con los indígenas embera del parque Nacional?","Bogotá","https://www.eltiempo.com/bogota/esto-pasara-con-los-indigenas-del-parque-nacional-tras-la-orden-de-desalojo-627036"
"Los rostros ocultos bajo tres momias egipcias de hace más de 2.000 años","Ciencia","https://www.eltiempo.com/vida/ciencia/reconstruyen-rostros-de-tres-momias-egipcias-de-hace-mas-de-2000-anos-627059"
"Hallan al abuelo de los cangrejos modernos, vivió con los dinosaurios","Ciencia","https://www.eltiempo.com/vida/ciencia/hallan-al-fosil-de-cangrejo-moderno-mas-antiguo-del-mundo-626976"
"La plataforma creada por colombianos que aporta a la transformación digital","Novedades Tecnología","https://www.eltiempo.com/tecnosfera/novedades-tecnologia/colombianos-crean-software-para-la-transformacion-digital-de-empresas-626939"
"Banco de Alimentos gana el premio Gonzalo Jiménez de Quesada","Bogotá","https://www.eltiempo.com/bogota/banco-de-alimentos-de-bogota-gano-premio-de-sociedad-de-mejoras-y-ornato-626971"
